customer_state,gmv,orders,freight,delivery_days,late_rate,review_score,bad_review_rate,aov,freight_share,gmv_share
SP,5055587.13,40406,702423.41,8.737594713221725,0.059011361667368006,4.247307813562978,0.10620239932301259,125.11971316141167,0.12199064331688424,0.3835503166891669
RJ,1751433.85,12310,295158.34,15.296848779221952,0.13517465475223395,3.965193339905795,0.1829608938547486,142.27732331437855,0.14421942067510773,0.1328753694781296
MG,1548206.8800000001,11319,266213.28,11.984529103187693,0.05627705627705628,4.193760554617367,0.11670073771220336,136.77947521865892,0.14672085654074743,0.11745722580877506
RS,726373.92,5328,132462.96,15.288672499113531,0.0717101558100244,4.186158192090396,0.11883239171374764,136.33144144144146,0.1542352955313237,0.055107535462602456
PR,664048.0,4903,115308.29,11.973149226947221,0.05017336324699164,4.24077868852459,0.10819672131147541,135.4370793391801,0.14795324228409062,0.05037907846260537
SC,504774.07,3537,87860.66,14.946139979214442,0.0978230138535482,4.133903133903134,0.12991452991452992,142.71248798416738,0.14825432184846812,0.03829550345520001
BA,493339.26,3253,97477.54,19.33413364159579,0.14048570550261297,3.9296342219466833,0.17048977061376316,151.65670458038733,0.16498775931896315,0.03742798304975494
DF,295454.64,2074,49774.16,12.93857173470481,0.07087753134040502,4.136627906976744,0.1298449612403101,142.45643201542913,0.14417731081532015,0.022415145427289628
GO,281932.21,1950,51674.24,15.61161243471035,0.08205128205128205,4.102114492006189,0.13151108818978854,144.58062051282053,0.15489580612125453,0.021389244344875272
ES,267783.66,1992,48926.18,15.775735616075414,0.12248995983935743,4.079857578840285,0.13784333672431331,134.42954819277108,0.15448266463713287,0.02031584165322934
PE,250639.89,1587,57094.95,18.449876623433454,0.10838059231253938,4.0820089001907185,0.14812460267005723,157.9331379962193,0.18553294128152664,0.019015201738682715
CE,218107.7,1273,46600.13,21.23845844789212,0.1539670070699136,3.9376479873717445,0.17205998421468036,171.33362136684997,0.17604364026557126,0.016547094384138487
PA,173382.99,942,37357.49,23.75709204460565,0.12420382165605096,3.908503767491927,0.1797631862217438,184.05837579617832,0.17726774656677255,0.013153981726157027
MT,152143.82,885,28979.16,18.068220888261145,0.06779661016949153,4.145216400911162,0.1275626423690205,171.91392090395482,0.15999714669005555,0.011542637648755072
MA,116305.12,713,30499.579999999998,21.53555651329801,0.19635343618513323,3.830042313117066,0.2002820874471086,163.12078541374473,0.2077561549459929,0.008823676550614914
MS,115429.97,701,18945.25,15.618319018465684,0.11554921540656206,4.160228898426324,0.13304721030042918,164.6647218259629,0.14098767615040927,0.008757281876560405
PB,112536.92,516,25226.89,20.393254602713178,0.11046511627906977,4.074363992172211,0.1487279843444227,218.0948062015504,0.18311695938142244,0.008537795946407403
PI,84511.0,475,20421.1,19.440831554580896,0.16,3.9936170212765956,0.16170212765957448,177.9178947368421,0.19461251609374058,0.006411564073611008
RN,81376.97,470,18578.77,19.21091440110323,0.10851063829787234,4.142398286937902,0.13062098501070663,173.14248936170213,0.1858699660469724,0.006173795804940431
AL,78805.73,396,15464.11,24.522339015151516,0.2398989898989899,3.8524173027989823,0.21119592875318066,199.00436868686867,0.16404090640230218,0.005978724512343827
SE,56288.74,332,13654.47,21.438612226684516,0.1536144578313253,3.900302114803625,0.1903323262839879,169.54439759036143,0.19522223815578382,0.004270436548293487
TO,48402.51,274,11604.86,17.65806260982698,0.12773722627737227,4.153846153846154,0.12087912087912088,176.65149635036497,0.19339057852393798,0.0036721349195796707
RO,45682.76,243,11283.24,19.37203651310776,0.02880658436213992,4.1652892561983474,0.11983471074380166,187.99489711934157,0.19806972580135518,0.003465796674981884
AM,22155.84,145,5429.63,26.42599090038314,0.041379310344827586,4.243055555555555,0.13194444444444445,152.79889655172414,0.19682934530388643,0.001680888733592949
AC,15930.97,80,3644.36,21.035712962962965,0.0375,4.0875,0.15,199.137125,0.18617106327198574,0.0012086288756466585
AP,13374.81,67,2767.0,27.185067716970703,0.04477611940298507,4.242424242424242,0.06060606060606061,199.62402985074627,0.17141819907432934,0.0010147016517065618
RR,7017.77,40,1952.73,29.90765798611111,0.125,3.9,0.15,175.44425,0.21768351819853965,0.0005324145023590435
